,actual,predicted,dumb
191,9.0,10.0,7
192,8.0,9.0,7
193,10.0,9.0,7
194,1.0,2.0,7
195,1.0,2.0,7
196,0.0,1.0,7
197,1.0,2.0,7
198,9.0,6.0,7
199,9.0,9.0,7
200,10.0,9.0,7
201,10.0,9.0,7
202,2.0,2.0,7
203,10.0,10.0,7
204,10.0,9.0,7
205,10.0,10.0,7
206,10.0,8.0,7
207,10.0,9.0,7
208,10.0,9.0,7
209,10.0,9.0,7
210,10.0,9.0,7
211,3.0,2.0,7
212,10.0,9.0,7
213,9.0,9.0,7
214,7.0,9.0,7
215,0.0,1.0,7
216,10.0,9.0,7
217,1.0,2.0,7
218,9.0,9.0,7
219,10.0,6.0,7
220,5.0,2.0,7
221,10.0,9.0,7
222,10.0,9.0,7
223,9.0,9.0,7
224,10.0,9.0,7
225,0.0,2.0,7
226,10.0,9.0,7
227,9.0,10.0,7
228,10.0,9.0,7
229,2.0,3.0,7
230,0.0,2.0,7
231,10.0,9.0,7
232,5.0,2.0,7
233,10.0,9.0,7
234,9.0,9.0,7
235,10.0,9.0,7
236,9.0,9.0,7
237,8.0,9.0,7
238,10.0,9.0,7
239,10.0,9.0,7
240,3.0,1.0,7
241,10.0,10.0,7
242,9.0,9.0,7
243,4.0,2.0,7
244,9.0,9.0,7
245,0.0,2.0,7
246,1.0,2.0,7
247,8.0,9.0,7
248,0.0,1.0,7
249,10.0,9.0,7
250,10.0,9.0,7
251,4.0,4.0,7
252,10.0,9.0,7
253,8.0,9.0,7
254,10.0,9.0,7
255,10.0,9.0,7
256,10.0,9.0,7
257,9.0,9.0,7
258,7.0,9.0,7
259,7.0,9.0,7
260,0.0,1.0,7
261,0.0,1.0,7
262,10.0,9.0,7
263,10.0,9.0,7
264,10.0,9.0,7
265,8.0,8.0,7
266,7.0,9.0,7
267,10.0,9.0,7
268,0.0,2.0,7
269,10.0,9.0,7
270,5.0,2.0,7
271,9.0,9.0,7
272,6.0,9.0,7
273,2.0,1.0,7
274,8.0,9.0,7
275,10.0,9.0,7
276,10.0,9.0,7
277,9.0,9.0,7
278,5.0,2.0,7
279,10.0,9.0,7
280,4.0,4.0,7
281,8.0,9.0,7
282,2.0,2.0,7
283,10.0,9.0,7
284,2.0,2.0,7
285,9.0,10.0,7
286,9.0,9.0,7
287,9.0,9.0,7
288,10.0,9.0,7
289,1.0,2.0,7
290,10.0,9.0,7
291,10.0,10.0,7
292,10.0,9.0,7
293,2.0,2.0,7
294,8.0,7.0,7
295,6.0,9.0,7
296,10.0,9.0,7
297,9.0,9.0,7
298,10.0,9.0,7
299,10.0,10.0,7
300,10.0,9.0,7
301,2.0,2.0,7
302,10.0,9.0,7
303,10.0,9.0,7
304,10.0,9.0,7
305,6.0,9.0,7
306,10.0,9.0,7
307,10.0,9.0,7
308,8.0,9.0,7
309,10.0,9.0,7
310,10.0,9.0,7
311,9.0,9.0,7
312,0.0,2.0,7
313,4.0,2.0,7
314,10.0,9.0,7
315,10.0,9.0,7
316,10.0,9.0,7
317,7.0,9.0,7
318,9.0,9.0,7
319,7.0,6.0,7
320,9.0,10.0,7
321,10.0,9.0,7
322,9.0,9.0,7
323,10.0,9.0,7
324,0.0,2.0,7
325,9.0,9.0,7
326,10.0,10.0,7
327,10.0,9.0,7
328,8.0,9.0,7
329,4.0,2.0,7
330,3.0,2.0,7
331,10.0,9.0,7
332,10.0,9.0,7
333,1.0,2.0,7
334,10.0,9.0,7
335,0.0,1.0,7
336,10.0,9.0,7
337,5.0,2.0,7
338,0.0,2.0,7
339,9.0,9.0,7
340,10.0,9.0,7
341,3.0,2.0,7
342,0.0,2.0,7
343,8.0,9.0,7
344,9.0,9.0,7
345,9.0,9.0,7
346,10.0,9.0,7
347,9.0,9.0,7
348,5.0,2.0,7
349,10.0,9.0,7
350,3.0,2.0,7
351,8.0,9.0,7
352,10.0,9.0,7
353,9.0,9.0,7
354,0.0,2.0,7
355,10.0,9.0,7
356,9.0,9.0,7
357,10.0,9.0,7
358,9.0,10.0,7
359,10.0,9.0,7
360,9.0,9.0,7
361,0.0,1.0,7
362,10.0,9.0,7
363,9.0,9.0,7
364,0.0,1.0,7
365,1.0,1.0,7
366,7.0,9.0,7
367,10.0,9.0,7
368,10.0,9.0,7
369,9.0,10.0,7
370,7.0,6.0,7
371,10.0,9.0,7
372,10.0,9.0,7
373,9.0,9.0,7
374,3.0,2.0,7
375,8.0,9.0,7
376,10.0,9.0,7
377,3.0,2.0,7
378,5.0,2.0,7
379,10.0,9.0,7
380,9.0,9.0,7
381,9.0,9.0,7
382,9.0,9.0,7
383,10.0,9.0,7
384,10.0,9.0,7
385,10.0,9.0,7
386,0.0,2.0,7
387,1.0,1.0,7
388,3.0,2.0,7
389,10.0,9.0,7
390,3.0,2.0,7
391,10.0,9.0,7
392,8.0,9.0,7
393,9.0,9.0,7
394,10.0,7.0,7
395,10.0,9.0,7
396,10.0,9.0,7
397,1.0,2.0,7
398,10.0,9.0,7
399,6.0,9.0,7
400,2.0,5.0,7
401,9.0,9.0,7
402,9.0,9.0,7
403,0.0,1.0,7
404,9.0,9.0,7
405,8.0,10.0,7
406,10.0,9.0,7
407,2.0,2.0,7
408,0.0,1.0,7
409,9.0,9.0,7
410,0.0,1.0,7
411,10.0,9.0,7
412,10.0,9.0,7
413,10.0,9.0,7
414,10.0,9.0,7
415,10.0,9.0,7
416,9.0,8.0,7
417,0.0,2.0,7
418,10.0,9.0,7
419,10.0,7.0,7
420,8.0,9.0,7
421,10.0,9.0,7
422,10.0,9.0,7
423,0.0,2.0,7
424,6.0,6.0,7
425,2.0,2.0,7
426,10.0,6.0,7
427,10.0,10.0,7
428,10.0,9.0,7
429,10.0,9.0,7
430,0.0,2.0,7
431,6.0,9.0,7
432,1.0,2.0,7
433,4.0,2.0,7
434,1.0,2.0,7
435,0.0,2.0,7
436,10.0,9.0,7
437,0.0,3.0,7
438,10.0,9.0,7
439,9.0,9.0,7
440,10.0,9.0,7
441,10.0,9.0,7
442,9.0,9.0,7
443,10.0,8.0,7
444,9.0,9.0,7
445,10.0,9.0,7
446,9.0,9.0,7
447,10.0,9.0,7
448,9.0,9.0,7
449,0.0,3.0,7
450,10.0,9.0,7
451,10.0,9.0,7
452,0.0,2.0,7
453,10.0,9.0,7
454,9.0,9.0,7
455,10.0,10.0,7
456,9.0,9.0,7
457,9.0,9.0,7
458,9.0,10.0,7
459,9.0,9.0,7
460,8.0,10.0,7
461,8.0,9.0,7
462,8.0,9.0,7
463,10.0,9.0,7
464,10.0,9.0,7
465,3.0,2.0,7
466,10.0,9.0,7
467,10.0,10.0,7
468,10.0,9.0,7
469,9.0,9.0,7
470,10.0,10.0,7
471,8.0,10.0,7
472,10.0,9.0,7
473,10.0,10.0,7
474,0.0,2.0,7
475,8.0,9.0,7
476,10.0,9.0,7
477,10.0,9.0,7
478,9.0,9.0,7
479,3.0,2.0,7
480,10.0,10.0,7
481,10.0,9.0,7
482,7.0,9.0,7
483,10.0,10.0,7
484,10.0,9.0,7
485,10.0,9.0,7
486,6.0,9.0,7
487,10.0,9.0,7
488,8.0,9.0,7
489,5.0,1.0,7
490,1.0,2.0,7
491,9.0,10.0,7
492,10.0,9.0,7
493,9.0,9.0,7
494,2.0,2.0,7
495,10.0,6.0,7
496,9.0,9.0,7
497,10.0,9.0,7
498,10.0,9.0,7
499,0.0,3.0,7
500,10.0,9.0,7
501,10.0,10.0,7
502,1.0,2.0,7
503,10.0,8.0,7
504,10.0,9.0,7
505,10.0,9.0,7
506,8.0,9.0,7
507,10.0,9.0,7
508,10.0,10.0,7
509,10.0,10.0,7
510,10.0,10.0,7
511,10.0,9.0,7
512,10.0,9.0,7
513,6.0,10.0,7
514,10.0,9.0,7
515,6.0,10.0,7
516,10.0,9.0,7
517,10.0,9.0,7
518,8.0,9.0,7
519,10.0,9.0,7
520,3.0,2.0,7
521,1.0,1.0,7
522,0.0,1.0,7
523,0.0,2.0,7
524,10.0,9.0,7
525,10.0,9.0,7
526,10.0,9.0,7
527,9.0,10.0,7
528,0.0,1.0,7
529,10.0,9.0,7
530,6.0,9.0,7
531,9.0,9.0,7
532,10.0,9.0,7
533,10.0,9.0,7
534,8.0,9.0,7
535,10.0,7.0,7
536,10.0,9.0,7
537,8.0,9.0,7
538,8.0,9.0,7
539,10.0,9.0,7
540,3.0,3.0,7
541,10.0,9.0,7
542,1.0,1.0,7
543,0.0,6.0,7
544,9.0,9.0,7
545,10.0,9.0,7
546,10.0,9.0,7
547,2.0,1.0,7
548,5.0,2.0,7
549,0.0,1.0,7
550,1.0,2.0,7
551,9.0,7.0,7
552,10.0,9.0,7
553,10.0,10.0,7
554,10.0,9.0,7
555,5.0,3.0,7
556,9.0,6.0,7
557,6.0,9.0,7
558,9.0,9.0,7
559,2.0,2.0,7
560,8.0,8.0,7
561,2.0,2.0,7
562,5.0,2.0,7
563,10.0,9.0,7
564,2.0,1.0,7
565,10.0,9.0,7
566,10.0,9.0,7
567,7.0,10.0,7
568,10.0,9.0,7
569,10.0,9.0,7
570,10.0,9.0,7
571,10.0,9.0,7
572,10.0,9.0,7
573,10.0,10.0,7
574,5.0,1.0,7
575,10.0,9.0,7
576,10.0,9.0,7
577,4.0,1.0,7
578,10.0,9.0,7
579,8.0,9.0,7
580,10.0,9.0,7
581,8.0,9.0,7
582,10.0,9.0,7
583,10.0,9.0,7
584,10.0,9.0,7
585,0.0,2.0,7
586,9.0,9.0,7
587,9.0,9.0,7
588,10.0,9.0,7
589,10.0,10.0,7
590,10.0,9.0,7
591,1.0,1.0,7
592,3.0,2.0,7
593,7.0,9.0,7
594,10.0,9.0,7
595,10.0,10.0,7
596,10.0,9.0,7
597,10.0,9.0,7
598,10.0,10.0,7
599,9.0,9.0,7
600,5.0,2.0,7
601,9.0,10.0,7
602,9.0,9.0,7
603,0.0,1.0,7
604,0.0,1.0,7
605,0.0,2.0,7
606,0.0,2.0,7
607,3.0,3.0,7
608,10.0,9.0,7
609,9.0,9.0,7
610,10.0,9.0,7
611,0.0,5.0,7
612,9.0,10.0,7
613,9.0,9.0,7
614,10.0,9.0,7
615,9.0,9.0,7
616,4.0,2.0,7
617,8.0,9.0,7
618,10.0,9.0,7
619,10.0,9.0,7
620,9.0,9.0,7
621,0.0,2.0,7
622,9.0,9.0,7
623,10.0,10.0,7
624,9.0,9.0,7
625,0.0,2.0,7
626,9.0,6.0,7
627,10.0,9.0,7
628,10.0,9.0,7
629,10.0,9.0,7
630,9.0,9.0,7
631,10.0,9.0,7
632,10.0,9.0,7
633,10.0,9.0,7
634,6.0,10.0,7
635,10.0,9.0,7
636,10.0,9.0,7
637,10.0,9.0,7
638,9.0,8.0,7
639,10.0,9.0,7
640,10.0,9.0,7
641,8.0,9.0,7
642,9.0,9.0,7
643,10.0,10.0,7
644,9.0,9.0,7
645,10.0,9.0,7
646,1.0,1.0,7
647,9.0,9.0,7
648,10.0,10.0,7
649,10.0,9.0,7
650,10.0,10.0,7
651,0.0,3.0,7
652,10.0,9.0,7
653,10.0,9.0,7
654,0.0,1.0,7
655,10.0,9.0,7
656,10.0,9.0,7
657,9.0,9.0,7
658,0.0,1.0,7
659,10.0,9.0,7
660,1.0,2.0,7
661,9.0,9.0,7
662,10.0,9.0,7
663,1.0,2.0,7
664,10.0,9.0,7
665,9.0,9.0,7
666,10.0,9.0,7
667,9.0,10.0,7
668,10.0,10.0,7
669,1.0,2.0,7
670,10.0,9.0,7
671,10.0,9.0,7
672,9.0,6.0,7
673,9.0,9.0,7
674,10.0,9.0,7
675,1.0,2.0,7
676,3.0,2.0,7
677,10.0,10.0,7
678,10.0,9.0,7
679,9.0,6.0,7
680,8.0,9.0,7
681,10.0,9.0,7
682,10.0,6.0,7
683,9.0,9.0,7
684,5.0,1.0,7
685,10.0,9.0,7
686,10.0,9.0,7
687,2.0,3.0,7
688,0.0,1.0,7
689,10.0,9.0,7
690,10.0,8.0,7
691,4.0,5.0,7
692,4.0,1.0,7
693,4.0,2.0,7
694,5.0,2.0,7
695,1.0,1.0,7
696,8.0,10.0,7
697,4.0,2.0,7
698,10.0,7.0,7
699,10.0,10.0,7
700,7.0,9.0,7
701,10.0,9.0,7
702,10.0,9.0,7
703,0.0,2.0,7
704,10.0,9.0,7
705,0.0,1.0,7
706,6.0,9.0,7
707,10.0,9.0,7
708,10.0,9.0,7
709,10.0,9.0,7
710,8.0,9.0,7
711,10.0,9.0,7
712,0.0,4.0,7
713,10.0,9.0,7
714,3.0,2.0,7
715,2.0,2.0,7
716,10.0,9.0,7
717,9.0,7.0,7
718,9.0,10.0,7
719,9.0,9.0,7
720,9.0,9.0,7
721,1.0,2.0,7
722,10.0,9.0,7
723,9.0,9.0,7
724,10.0,7.0,7
725,10.0,9.0,7
726,5.0,2.0,7
727,10.0,10.0,7
728,9.0,9.0,7
729,9.0,9.0,7
730,10.0,9.0,7
731,9.0,9.0,7
732,10.0,9.0,7
733,9.0,9.0,7
734,4.0,1.0,7
735,10.0,9.0,7
736,10.0,9.0,7
737,2.0,2.0,7
738,10.0,8.0,7
739,0.0,1.0,7
740,10.0,9.0,7
741,2.0,4.0,7
742,10.0,9.0,7
743,8.0,10.0,7
744,3.0,1.0,7
745,9.0,10.0,7
746,9.0,9.0,7
747,10.0,9.0,7
748,10.0,7.0,7
749,10.0,10.0,7
750,8.0,9.0,7
751,0.0,2.0,7
752,8.0,10.0,7
753,0.0,2.0,7
754,10.0,9.0,7
755,10.0,9.0,7
756,10.0,10.0,7
757,6.0,9.0,7
758,10.0,9.0,7
759,9.0,9.0,7
760,10.0,6.0,7
761,4.0,2.0,7
762,10.0,9.0,7
763,9.0,7.0,7
764,10.0,9.0,7
765,10.0,9.0,7
766,6.0,9.0,7
767,3.0,2.0,7
768,4.0,1.0,7
769,0.0,2.0,7
770,9.0,9.0,7
771,10.0,6.0,7
772,10.0,10.0,7
773,9.0,9.0,7
774,10.0,9.0,7
775,10.0,9.0,7
776,10.0,10.0,7
777,4.0,4.0,7
778,0.0,1.0,7
779,8.0,9.0,7
780,10.0,9.0,7
781,9.0,9.0,7
782,10.0,9.0,7
783,1.0,2.0,7
784,9.0,9.0,7
785,10.0,9.0,7
786,9.0,9.0,7
787,10.0,9.0,7
788,10.0,9.0,7
789,10.0,9.0,7
790,3.0,2.0,7
791,10.0,6.0,7
792,0.0,1.0,7
793,10.0,9.0,7
794,10.0,10.0,7
795,10.0,10.0,7
796,0.0,1.0,7
797,9.0,9.0,7
798,2.0,1.0,7
799,5.0,2.0,7
800,8.0,9.0,7
801,3.0,2.0,7
802,8.0,9.0,7
803,10.0,9.0,7
804,1.0,2.0,7
805,10.0,9.0,7
806,2.0,1.0,7
807,10.0,10.0,7
808,2.0,2.0,7
809,10.0,9.0,7
810,10.0,9.0,7
811,8.0,9.0,7
812,10.0,9.0,7
813,10.0,9.0,7
814,7.0,9.0,7
815,0.0,3.0,7
816,0.0,2.0,7
817,10.0,9.0,7
818,0.0,2.0,7
819,10.0,9.0,7
820,7.0,9.0,7
821,9.0,10.0,7
822,10.0,9.0,7
823,10.0,8.0,7
824,10.0,8.0,7
825,10.0,9.0,7
826,10.0,9.0,7
827,10.0,9.0,7
828,10.0,9.0,7
829,10.0,9.0,7
830,10.0,10.0,7
831,9.0,9.0,7
832,9.0,9.0,7
833,10.0,9.0,7
834,0.0,2.0,7
835,8.0,6.0,7
836,10.0,9.0,7
837,9.0,9.0,7
838,7.0,9.0,7
839,1.0,2.0,7
840,9.0,9.0,7
841,9.0,9.0,7
842,5.0,2.0,7
843,0.0,2.0,7
844,9.0,9.0,7
845,10.0,10.0,7
846,10.0,9.0,7
847,8.0,9.0,7
848,10.0,10.0,7
849,9.0,9.0,7
850,9.0,9.0,7
851,0.0,2.0,7
852,5.0,1.0,7
853,9.0,9.0,7
854,10.0,9.0,7
855,2.0,2.0,7
856,10.0,8.0,7
857,5.0,2.0,7
858,8.0,9.0,7
859,10.0,10.0,7
860,10.0,9.0,7
861,4.0,4.0,7
862,7.0,9.0,7
863,9.0,9.0,7
864,10.0,9.0,7
865,2.0,1.0,7
866,8.0,8.0,7
867,1.0,1.0,7
868,3.0,1.0,7
869,7.0,10.0,7
870,10.0,9.0,7
871,10.0,9.0,7
872,1.0,5.0,7
873,4.0,1.0,7
874,8.0,10.0,7
875,0.0,2.0,7
876,9.0,9.0,7
877,8.0,9.0,7
878,10.0,9.0,7
879,5.0,2.0,7
880,10.0,10.0,7
881,10.0,10.0,7
882,10.0,9.0,7
883,7.0,10.0,7
884,10.0,9.0,7
885,10.0,9.0,7
886,10.0,9.0,7
887,9.0,7.0,7
888,10.0,9.0,7
889,3.0,2.0,7
890,4.0,2.0,7
891,9.0,9.0,7
892,10.0,9.0,7
893,10.0,9.0,7
894,9.0,9.0,7
895,9.0,9.0,7
896,3.0,2.0,7
897,8.0,8.0,7
898,10.0,10.0,7
899,10.0,9.0,7
900,2.0,2.0,7
901,7.0,6.0,7
902,10.0,8.0,7
903,0.0,5.0,7
904,9.0,9.0,7
905,3.0,2.0,7
906,9.0,9.0,7
907,9.0,9.0,7
908,3.0,2.0,7
909,2.0,1.0,7
910,10.0,9.0,7
911,6.0,10.0,7
912,10.0,9.0,7
913,10.0,10.0,7
914,10.0,9.0,7
915,10.0,9.0,7
916,9.0,9.0,7
917,0.0,2.0,7
918,0.0,2.0,7
919,10.0,9.0,7
920,6.0,9.0,7
921,10.0,6.0,7
922,10.0,9.0,7
923,0.0,6.0,7
924,10.0,9.0,7
925,9.0,9.0,7
926,10.0,9.0,7
927,7.0,10.0,7
928,10.0,9.0,7
929,10.0,8.0,7
930,10.0,6.0,7
931,10.0,10.0,7
932,10.0,9.0,7
933,0.0,1.0,7
934,3.0,2.0,7
935,0.0,2.0,7
936,9.0,6.0,7
937,3.0,1.0,7
938,10.0,9.0,7
939,10.0,9.0,7
940,10.0,9.0,7
941,10.0,9.0,7
942,10.0,9.0,7
943,4.0,2.0,7
944,7.0,9.0,7
945,10.0,9.0,7
946,0.0,4.0,7
947,10.0,9.0,7
948,10.0,9.0,7
949,2.0,1.0,7
950,4.0,2.0,7
951,2.0,2.0,7
952,0.0,3.0,7
953,10.0,9.0,7
954,10.0,9.0,7
955,1.0,2.0,7
956,10.0,9.0,7
957,5.0,5.0,7
958,10.0,9.0,7
959,10.0,9.0,7
960,10.0,9.0,7
961,10.0,9.0,7
962,10.0,9.0,7
963,10.0,9.0,7
964,10.0,9.0,7
965,9.0,9.0,7
966,10.0,9.0,7
967,10.0,10.0,7
968,10.0,9.0,7
969,10.0,9.0,7
970,10.0,9.0,7
971,9.0,9.0,7
972,10.0,9.0,7
973,8.0,9.0,7
974,0.0,2.0,7
975,9.0,9.0,7
976,3.0,2.0,7
977,9.0,10.0,7
978,10.0,9.0,7
979,8.0,6.0,7
980,10.0,9.0,7
981,9.0,9.0,7
982,0.0,2.0,7
983,3.0,1.0,7
984,9.0,9.0,7
985,10.0,9.0,7
986,7.0,9.0,7
987,10.0,10.0,7
988,10.0,8.0,7
989,9.0,9.0,7
990,9.0,9.0,7
991,10.0,6.0,7
992,9.0,8.0,7
993,2.0,4.0,7
994,9.0,9.0,7
995,10.0,9.0,7
996,10.0,9.0,7
997,10.0,9.0,7
998,10.0,9.0,7
999,9.0,6.0,7
1000,10.0,9.0,7
1001,0.0,3.0,7
1002,10.0,10.0,7
1003,6.0,9.0,7
1004,9.0,9.0,7
1005,5.0,2.0,7
1006,0.0,1.0,7
1007,10.0,9.0,7
1008,1.0,1.0,7
1009,7.0,9.0,7
1010,9.0,10.0,7
1011,5.0,2.0,7
1012,1.0,2.0,7
1013,4.0,2.0,7
1014,9.0,9.0,7
1015,1.0,1.0,7
1016,8.0,9.0,7
1017,5.0,1.0,7
1018,8.0,7.0,7
1019,9.0,9.0,7
1020,8.0,9.0,7
1021,10.0,9.0,7
1022,10.0,10.0,7
1023,10.0,9.0,7
1024,10.0,9.0,7
1025,8.0,10.0,7
1026,4.0,2.0,7
1027,9.0,9.0,7
1028,9.0,9.0,7
1029,8.0,10.0,7
1030,2.0,2.0,7
1031,9.0,9.0,7
1032,10.0,9.0,7
1033,10.0,9.0,7
1034,6.0,10.0,7
1035,9.0,9.0,7
1036,9.0,9.0,7
1037,9.0,9.0,7
1038,9.0,10.0,7
1039,10.0,10.0,7
1040,4.0,5.0,7
1041,8.0,9.0,7
1042,9.0,9.0,7
1043,1.0,1.0,7
1044,1.0,1.0,7
1045,0.0,2.0,7
1046,8.0,10.0,7
1047,0.0,6.0,7
1048,5.0,1.0,7
1049,1.0,1.0,7
1050,1.0,2.0,7
1051,0.0,2.0,7
1052,9.0,9.0,7
1053,9.0,10.0,7
1054,10.0,9.0,7
1055,0.0,2.0,7
1056,8.0,9.0,7
1057,0.0,2.0,7
1058,9.0,9.0,7
1059,10.0,10.0,7
1060,10.0,9.0,7
1061,10.0,10.0,7
1062,10.0,9.0,7
1063,10.0,9.0,7
1064,1.0,2.0,7
1065,10.0,10.0,7
1066,0.0,1.0,7
1067,10.0,9.0,7
1068,6.0,9.0,7
1069,10.0,9.0,7
1070,9.0,9.0,7
1071,10.0,9.0,7
1072,8.0,9.0,7
1073,10.0,9.0,7
1074,10.0,10.0,7
1075,9.0,9.0,7
1076,0.0,6.0,7
1077,0.0,1.0,7
1078,10.0,9.0,7
1079,4.0,1.0,7
1080,10.0,9.0,7
1081,3.0,2.0,7
1082,10.0,9.0,7
1083,6.0,9.0,7
1084,10.0,9.0,7
1085,1.0,2.0,7
1086,9.0,9.0,7
1087,9.0,9.0,7
1088,9.0,9.0,7
1089,10.0,9.0,7
1090,9.0,10.0,7
1091,0.0,2.0,7
1092,10.0,9.0,7
1093,7.0,9.0,7
1094,7.0,9.0,7
1095,10.0,9.0,7
1096,10.0,7.0,7
1097,9.0,9.0,7
1098,9.0,9.0,7
1099,10.0,9.0,7
1100,9.0,9.0,7
1101,10.0,9.0,7
1102,10.0,9.0,7
1103,8.0,9.0,7
1104,10.0,9.0,7
1105,9.0,9.0,7
1106,10.0,9.0,7
1107,10.0,10.0,7
1108,2.0,1.0,7
1109,10.0,9.0,7
1110,9.0,9.0,7
1111,9.0,9.0,7
1112,5.0,1.0,7
1113,10.0,9.0,7
1114,0.0,2.0,7
1115,10.0,10.0,7
1116,10.0,9.0,7
1117,10.0,9.0,7
1118,10.0,10.0,7
1119,7.0,9.0,7
1120,10.0,9.0,7
1121,8.0,9.0,7
1122,2.0,1.0,7
1123,0.0,2.0,7
1124,2.0,1.0,7
1125,10.0,9.0,7
1126,0.0,1.0,7
1127,9.0,8.0,7
1128,10.0,9.0,7
1129,10.0,9.0,7
1130,1.0,2.0,7
1131,9.0,9.0,7
1132,10.0,9.0,7
1133,0.0,2.0,7
1134,9.0,9.0,7
1135,5.0,2.0,7
1136,9.0,9.0,7
1137,10.0,9.0,7
1138,9.0,9.0,7
1139,10.0,9.0,7
1140,9.0,10.0,7
1141,10.0,10.0,7
1142,10.0,10.0,7
1143,10.0,9.0,7
1144,10.0,10.0,7
1145,4.0,2.0,7
1146,5.0,1.0,7
1147,10.0,9.0,7
1148,3.0,1.0,7
1149,4.0,2.0,7
1150,1.0,2.0,7
1151,10.0,10.0,7
